wins,wins_without_guess,time_elapsed,samples_considered,samples_with_solutions,difficulty,sample_size,use_num_mines_constraint,first_click_pos,first_click_is_zero,parameters_id,batch_size
7,7,6.827542781829834,91,83,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,3.9684112071990967,76,76,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,8,0.5155775547027588,38,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
4,3,37.746782064437866,202,187,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,9,0.4218382835388183,35,35,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
5,1,45.714853048324585,203,173,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,8,8.311791896820068,91,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
7,6,6.046358346939087,82,72,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.5312035083770752,37,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,2,35.16887640953064,206,184,Expert (16x30),18x32,True,"(3, 3)",True,3,10
4,1,27.700761795043945,192,177,Expert (16x30),18x32,True,"(3, 3)",True,3,10
9,8,0.3749680519104004,29,27,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,4,5.405789852142334,88,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,9,0.3593449592590332,29,28,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
8,7,5.015197515487671,94,90,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,5,5.983862400054932,89,82,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
10,10,0.3437240123748779,34,34,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
3,1,28.372584342956543,191,171,Expert (16x30),18x32,True,"(3, 3)",True,3,10
3,1,32.700331926345825,219,199,Expert (16x30),18x32,True,"(3, 3)",True,3,10
7,6,0.4062161445617676,32,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
10,8,4.718347549438477,95,93,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
8,5,39.074791431427,222,211,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,10,0.3124754428863525,29,29,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
7,6,5.718265295028687,80,75,Intermediate (16x16),18x18,True,"(3, 3)",True,2,10
4,2,24.716637134552,170,154,Expert (16x30),18x32,True,"(3, 3)",True,3,10
10,9,0.828059196472168,39,36,Beginner (9x9),11x11,True,"(3, 3)",True,1,10
